id,time,creative_id,spend,program,duration,network_code,is_dual_feed,rotation,rotation_days,rotation_start,rotation_end,feed
413920,2017-10-17 18:13:39-07:00,b6cc05016845138a72f2fa2e4f1f1a56,6.12,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413920,2017-10-17 15:13:39-07:00,b6cc05016845138a72f2fa2e4f1f1a56,27.88,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413921,2017-10-17 18:39:16-07:00,f3483f810d44cef79d90a66ab2da1bf0,6.12,NBA GAMETIME,13.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413921,2017-10-17 15:39:16-07:00,f3483f810d44cef79d90a66ab2da1bf0,27.88,NBA GAMETIME,13.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413922,2017-10-17 15:43:00-07:00,eff6a8d032a8ca3ae098381569a9c15f,27.88,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413922,2017-10-17 18:43:00-07:00,eff6a8d032a8ca3ae098381569a9c15f,6.12,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413923,2017-10-17 18:52:49-07:00,5992d996de2f11faa3492960a58de350,6.12,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413923,2017-10-17 15:52:49-07:00,5992d996de2f11faa3492960a58de350,27.88,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413924,2017-10-17 15:56:25-07:00,b6cc05016845138a72f2fa2e4f1f1a56,27.88,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413924,2017-10-17 18:56:25-07:00,b6cc05016845138a72f2fa2e4f1f1a56,6.12,NBA GAMETIME,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413925,2017-10-17 18:39:59-07:00,f3483f810d44cef79d90a66ab2da1bf0,30.599999999999998,LARAMIE,14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
413925,2017-10-17 15:39:59-07:00,f3483f810d44cef79d90a66ab2da1bf0,139.4,LARAMIE,14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
413934,2017-10-17 16:47:19-07:00,eff6a8d032a8ca3ae098381569a9c15f,139.4,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
413934,2017-10-17 19:47:19-07:00,eff6a8d032a8ca3ae098381569a9c15f,30.599999999999998,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
413952,2017-10-17 21:25:59-07:00,5992d996de2f11faa3492960a58de350,30.599999999999998,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
413952,2017-10-17 18:25:59-07:00,5992d996de2f11faa3492960a58de350,139.4,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
413978,2017-10-17 23:29:57-07:00,b6cc05016845138a72f2fa2e4f1f1a56,30.599999999999998,MOVIE,14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
413978,2017-10-17 20:29:57-07:00,b6cc05016845138a72f2fa2e4f1f1a56,139.4,MOVIE,14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
413988,2017-10-17 21:50:51-07:00,f3483f810d44cef79d90a66ab2da1bf0,153.34,ARCHER,14.0,FXX,True,Everyday Late  ,"{1,2,3,4,5,6,7}",23:00:00,02:00:00,1.0
413988,2017-10-18 00:50:51-07:00,f3483f810d44cef79d90a66ab2da1bf0,33.66,ARCHER,14.0,FXX,True,Everyday Late  ,"{1,2,3,4,5,6,7}",23:00:00,02:00:00,2.0
414056,2017-10-18 07:26:36-07:00,b6cc05016845138a72f2fa2e4f1f1a56,15.299999999999999,>>>> Show Information Not Available <<<<,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
414056,2017-10-18 04:26:36-07:00,b6cc05016845138a72f2fa2e4f1f1a56,69.7,>>>> Show Information Not Available <<<<,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
414082,2017-10-18 08:22:16-07:00,f3483f810d44cef79d90a66ab2da1bf0,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
414082,2017-10-18 05:22:16-07:00,f3483f810d44cef79d90a66ab2da1bf0,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
414083,2017-10-18 09:18:56-07:00,eff6a8d032a8ca3ae098381569a9c15f,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
414083,2017-10-18 06:18:56-07:00,eff6a8d032a8ca3ae098381569a9c15f,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
414108,2017-10-18 10:28:05-07:00,5992d996de2f11faa3492960a58de350,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
414108,2017-10-18 07:28:05-07:00,5992d996de2f11faa3492960a58de350,69.7,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
414109,2017-10-18 10:10:10-07:00,f3483f810d44cef79d90a66ab2da1bf0,24.48,OVERHAULIN',14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
414109,2017-10-18 07:10:10-07:00,f3483f810d44cef79d90a66ab2da1bf0,111.52,OVERHAULIN',14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
414110,2017-10-18 10:28:41-07:00,eff6a8d032a8ca3ae098381569a9c15f,24.48,OVERHAULIN',14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
414110,2017-10-18 07:28:41-07:00,eff6a8d032a8ca3ae098381569a9c15f,111.52,OVERHAULIN',14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
414111,2017-10-18 10:51:09-07:00,5992d996de2f11faa3492960a58de350,24.48,OVERHAULIN',14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
414111,2017-10-18 07:51:09-07:00,5992d996de2f11faa3492960a58de350,111.52,OVERHAULIN',14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
414123,2017-10-18 11:08:59-07:00,b6cc05016845138a72f2fa2e4f1f1a56,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
414123,2017-10-18 08:08:59-07:00,b6cc05016845138a72f2fa2e4f1f1a56,69.7,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
414124,2017-10-18 11:49:49-07:00,f3483f810d44cef79d90a66ab2da1bf0,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
